id,date,title,duration_ms,description
23oC1LUSuxsov8vBOGwDeI,2018-04-02,Zach Braff,7731173,"Zach Braff (Scrubs, Garden State, Alex Inc.) is an American actor, writer and producer. In this doppelgänger episode, Zach and Dax discuss the unending hardship of being recognized as the other, the first time they were sexually aroused and their mutual love of Brad Pitt and Natalie Portman. Zach talks about his experience of growing up with therapist parents and Dax details his Shaun Of The Dead moment. The two of them discuss the emotional trap of dating “out of their league”, the uphill battle of being a writer and Dax regales the world with his Mike Tyson impression. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
1V5Mf2FUFjdhlH9r70DgzT,2018-04-09,Lauren Graham,6447177,"Lauren Graham (Gilmore Girls, Parenthood, Bad Santa, Even Almighty) is an American actress, author and is Dax's beloved TV sister. Lauren sits down with Dax to discuss her colorful childhood, the fear of slowing down and her lack of a maternal influence. Lauren expresses a reluctance to accept social media and Dax shares a method he implemented to curb addiction. They touch on their mutual appreciation for Parenthood, how Chaz Dean transformed the LA billboard scene, and Dax and Monica have an inane debate over the attractiveness of a capella performers. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
1LlNMFAYhDKowDQlPNXwjY,2018-04-16,Katie Couric,7159980,"Katie Couric is an American journalist, author and general badass. Katie sits down with the Armchair Expert to talk about her new documentary series, the current societal emphasis on political correctness, the influx of confirmation bias and her personal experience losing a spouse. Dax debates the efficacy of empathy and Katie implores our listeners to rename her podcast. Dax and Katie discuss her watershed interview with Sarah Palin, the balance between work and motherhood and Monica and Dax, yet again, broach a fiery hot-button topic during the fact check. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
53l9Se86CUCk8LqC26MrRY,2018-04-23,Seth Green,6063934,"Seth Green is an American actor, voice artist, comedian, producer, writer, director and one of Dax's true loves of his life. Seth sits down with the Armchair Expert to travel down memory lane and discuss how Seth got Dax cast in Without A Paddle, why Seth was the worst mark in Punk'd history and Seth's affinity for zero gravity. Seth talks about his experience as a first time director and Dax chronicles the 72 hours he spent on their press tour that ultimately led to his relapse. They talk about their mutual experience working with a real bear, Seth's fame as the Rally's Cha-Ching guy and Dax commends Seth for his unmatched integrity. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
7ekb7n11ap2XOp9P2CRW8c,2018-04-30,Chris Hardwick,6192378,"Chris Hardwick is an American stand-up comedian, actor, voice actor, television host, writer, producer, podcaster and king of the world. Chris takes time out of his impossibly busy schedule to sit down with the Armchair Expert and discuss his road to sobriety, the Dunning-Kruger effect, the entrapment of confirmation bias and why we should all be referring to bowling alleys as bowling centers. Chris reveals why calculating data is the trick to betterment and Dax unfairly accuses Chris of having high self-esteem. The two of them debate whether or not we are currently living in a matrix, the reason humans gravitate toward conspiracy theories and Monica adds Chris to her list of #MonicaLovesBoys. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
5KK2pXhq9VfVx6P3y7SOHW,2018-05-07,Joel McHale,4951719,"Joel McHale (The Soup, Community, The Joel McHale Show with Joel McHale) is an American comedian, actor and television host extraordinaire. Joel sits down with Dax to discuss his childhood diagnosis of “slow starter,” the trap of overcommitment and the hang up’s that come from working in reality TV. Joel impresses Dax with his stature and Dax opens up a controversial conversation about societal punishment. The two talk about the evolutionary benefit of dyslexia, their mutual experience with short-term memory loss and it is revealed (spoiler!) that they are actually the same person living in two bodies. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
4FEeH5SRqLH50CFPbPMiIF,2018-05-14,Bob Mervak,6552137,"Bob Mervak is an American pianist, vocalist, songwriter and studio writer. He sits down at his keyboard to share some music and conversation with the Armchair Expert. Bob discusses his childhood best friendship with Kristen Bell, the experience of composing a movie score and what it was like to play music for George Clooney. Bob talks about the importance of enjoying music regardless of its technical proficiency and Dax serenades us with a very blue rendition of Silver Bells. The two question whether young platonic relationships are possible, they unpack how to navigate jealousy among friends and Monica deems Bob the most talented person she's ever met. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
0ytfNXvn9LDjyAmUogHNTM,2018-05-21,Marc Maron,4552620,"Marc Maron (WTF with Marc Maron, Maron, Glow) is an American comedian, actor, podcast host and the impetus for Armchair Expert. In this episode, Marc discusses his trajectory toward success, the license that comes with playing flawed characters and the particularly intimate connection between podcast hosts and their audience. Dax and Marc hash out an uncomfortable text exchange they had a few months back and the two of them question whether achieving success has the power to heal wounds. They discuss the importance of having a flexible identity, the emphasis stand ups place on paying your dues and Dax warns of the dangers of chess. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
5WqAkezoCdvbDdmfKsFBv0,2018-05-28,Johnny Knoxville,6038595,"Johnny Knoxville (Jackass, Jackass The Movie, Jackass Presents: Bad Grandpa, The Ringer) is an American actor, producer, screenwriter and stunt performer. He sits down with the Armchair Expert to discuss his early relationship with hospitals, his love of hillbilly culture and the mindset he enters before attempting a stunt. Johnny details some of his notable injuries and Dax reveals why he thought Johnny didn't like him. The two talk about the power of children to save their parents, the importance of discretion when picking your heroes and Dax and Monica discuss why it's okay to put your feet on the couch. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
5KLMfXWBXZcOwLdSClH0XQ,2018-06-04,Erika Christensen,7765159,"Erika Christensen (Traffic, Swimfan, Parenthood) is an American actress and one of Dax's most beloved TV sisters. Erika sits down with the Armchair Expert to discuss her journey as a child actor, her emphasis on clarity and recall, and the areas in which Scientology has informed her worldview. Erika details her days as a cyclist and Dax talks about his favorite scene on Parenthood, They discuss some of their earliest memories of one another, the importance of B vitamins and how bystanders could easily have mistaken them for lovers. Dax, also, reveals the location of the best grilled cheese on planet earth. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
2i6YDndYgRik2kH5jrjck9,2018-06-07,EXPERTS ON EXPERT: Wendy Mogel,7141093,"In this inaugural episode of Experts on Expert, the Armchair Expert speaks to author and child psychologist, Dr. Wendy Mogel about human patterns of behavior, the impact of social media on the family and the importance of free-reign grandparenting. Wendy gives advice on how to speak to children and Dax asks for reassurance on his parenting strategy. The two of them breakdown the moral dilemma of behavioral diagnoses, the role of fear and Wendy discusses a study that uncovered the one thing every child wishes they could tell their parents.Dr. Wendy Mogel is a practicing clinical psychologist in Los Angeles, New York Times bestselling author and international public speaker. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
3lzIcUhEp4FXEKkRqMKLpS,2018-06-11,Talib Kweli,10061139,"Talib Kweli is an American hip hop recording artist, entrepreneur and social activist. He sits down with the Armchair Expert where they have an honest debate about many social issues plaguing America today. They touch on all of the topics one would generally avoid at the dinner table including race, gender and religion. In addition, Talib talks about his place in the hip-hop world, his parents' emphasis on education and his counterview to Sam Harris. Dax and Talib reminisce about an altercation they teamed up on, they talk about their mutual worship of Jay Z and Monica discusses the gender patterns she's observed from working on the podcast. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
6fIufEp0GrnrwEcYXpi2Lm,2018-06-18,Kaitlin Olson,6884153,"Kaitlin Olson (It's Always Sunny In Philadelphia, Finding Dory, The Mick) is an American actress, producer, comedian and one of Dax's first friends in Los Angeles. Kaitlin sits down with the Armchair Expert to discuss a childhood accident that sparked years of insecurity, her need for perfection and her struggle with balancing motherhood and work. Dax and Kaitlin speculate on why they got kicked out of the Groundlings, their mutual undying love for Rob McElhenney and a drug-induced adventure that ultimately resulted in Dax getting bit by a seal. Dax waxes poetic on the character qualities of Kaitlin's father and Monica and Dax debate the color of Lori Loughlin's hair. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
0lh3TkFjEmjW8BjJEDDzey,2018-06-25,Mae Whitman,7904391,"Mae Whitman (Parenthood, Perks of Being a Wallflower, Hope Floats, Good Girls) is an American actress and singer, but paramount to all of that she is Dax's sweet bebe. Mae sits down with the Armchair Expert to discuss her 28 year long career as an actress, how she juggled acting and childhood, and she doubles down on her undying love of Taylor Swift. In this lovefest, Dax gush's over Mae's superior personality and Mae talks about her experience doing full nudity on stage. The two of them reveal their salacious plot to have more scenes together on Parenthood, they reminisce on a very specific facial expression that brought the two of them together and Monica and Dax debate the tired topic of how to pronounce Caribbean.  Learn more about your ad choices. Visit podcastchoices.com/adchoices"
1kW1jwbiJS6pTDYo2wXXOJ,2018-07-02,Dax's Mom (Laura Labo),9270491,"Laura Labo (Dax's Mom) is an American entrepreneur, businesswoman and Dax's #1 love of his life. In this special episode, Laura sits down with the Armchair Expert to discuss her life story, the mistakes that made her and the struggle of raising a family as a single mother. Dax describes the many reasons he loves her and Laura talks about the recent death of her husband. The two of them travel down memory lane in a delightful and endearing lovefest in which they talk about Laura's bouts with depression, the impetus for Dax's love addiction and the exact degree of ugliness to which Dax was as a baby. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
44ISlUo4MWqUK4F4frdBYW,2018-07-09,Portugal. The Man (John Gourley & Zachary Carothers),6922919,"John Gourley and Zachary Carothers are members of the American Rock Band, Portugal. The Man. They sit down with the Armchair Expert to discuss the pressure of following up a Grammy, dog sled culture in Alaska, and the value of paying homage to other artists. Zach and John give insight into recording artists they admire and Dax is baffled at their general lack of jackassery. They talk about the elusiveness of a pop hit, the highs and lows of being ""known"" and Monica and Dax reach new levels of indecency in the fact check. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
30pB3ZVmrT85OqL3Rt9ATr,2018-07-12,EXPERTS ON EXPERT: David Sedaris,6773028,"In this episode of Experts on Expert, the Armchair Expert speaks to author and humorist, David Sedaris about behavioral tics, and value of writing without preciousness and his provocative encounters at book signings. David talks about the authors he is inspired by and Dax tells a story about why he can't drink Pellegrino. The two of them breakdown the dilemma of sharing family stories, the current culture of sensitivity and their mutual path to sobriety.David Sedaris -- is the author of Barrel Fever, Naked, Holidays on Ice, Me Talk Pretty One Day, Dress Your Family in Corduroy and Denim, When You are Engulfed in Flames, Squirrel Seeks Chipmunk, Let's Explore Diabetes with Owls and Theft by Finding. He is a contributor to The New Yorker and BBC Radio 4. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
2Jix1FZ7oh1YJNIXAjBT1T,2018-07-16,Nick Kroll,7945717,"Nick Kroll (Kroll Show, The League, Big Mouth) is an American actor, comedian, writer, producer and Dax’s favorite person to run into on the street. Nick sits down with the armchair expert to discuss his inability to stay awake, his first game night at Kristen Bell’s house and how his family’s wealth informed his current relationship to money. Nick talks about his most informative working experience and Dax shares his run-in with Mike Tyson. The two bond over a shared proclivity to say the exact wrong thing, they debate which car Nick should be driving and they discuss puberty in all its glory. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
3sLz7RVpJHhqgOODLYnXHQ,2018-07-23,Mila Kunis,9320097,"Mila Kunis (Black Swan, Forgetting Sarah Marshall, That 70’s Show, Friends with Benefits) is an American actress, producer and self-proclaimed armcherry. She sits down with the Armchair Expert to discuss her immigration to America at the age of seven, her commitment to exploring various roles and her personal evolution to knowing her worth. Mila talks about her decision to openly embrace her flaws and Dax is shocked by Mila’s startlingly high level of adjustment. The two discuss Mila’s relationship with her family, they share tools on how to avoid conflict and per Mila’s request, Dax shares a very intimate story involving Jello and an STD clinic.  Learn more about your ad choices. Visit podcastchoices.com/adchoices"
6nev6BzzXu3mXR7L1I4z0J,2018-07-30,David Harbour,9934550,"David Harbour (Stranger Things, The Green Hornet, Revolutionary Road) is an American actor and the man Dax deems the most masculine man to walk into the attic. David sits down with the Armchair Expert to discuss his proclivity for denouncing intellectuals, his fear that we are losing our empathy and his experience with bipolar disorder. David debunks the misconception that affliction is necessary for creativity and Dax details the mechanics of the microwave oven. Dax and David bond over the benefits of AA, their mutual feelings of self-loathing and Monica teaches Dax a new phrase in the fact check. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
6KPXsYysFQJVH8uV5iQRQS,2018-08-02,EXPERTS ON EXPERT: Jon Favreau,7097600,"Jon Favreau an American political commentator, creator and co-host of Pod Save America and the former Director of Speechwriting for President Barack Obama. In this chapter of Experts on Expert, Jon discusses his heartbreak on the 2004 Kerry campaign, his devotion to the democratic ideal of persuasion and he details his farcical experience sharing a name with the other Jon Favreau. Dax chooses to see America as two spouses in a rocky marriage and Jon shares the story of his first meeting with Barack Obama. The two debate whether it's productive to be inundated with current events, they pinpoint what distinguishes an average speech from a great one and Dax wonders if Jon is the Ma Anand Sheela to Obama's Bhagwan. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
6N8PwBoJcF3Jds9IwG1MGQ,2018-08-06,Vincent D'Onofrio,7358537,"Vincent D’Onofrio (Full Metal Jacket, Daredevil, Law & Order: Criminal Intent) is an American actor, producer and one of Dax’s acting heroes. Vincent sits down with the Armchair Expert to discuss his struggle during childhood, the series of events that led to Full Metal Jacket and his aversion to sports metaphors. Dax refuses to accept he wasn’t cast in Vincent’s movie and Vincent is disturbed by the dog print in the attic. They talk about their mutual reluctance to owe others in any capacity, Dax implores Vincent to move into his house and Monica loves magicians.  Learn more about your ad choices. Visit podcastchoices.com/adchoices"
6Bt0ZvPC42PTXIodhMH1RK,2018-08-13,Seth Rogen,8492591,"Seth Rogen (Freaks and Geeks, Knocked Up, Superbad, Pineapple Express, Steve Jobs) is a Canadian actor, voice actor, comedian, writer, producer, director and one of the most prolific humans to walk into the attic. Seth sits down with the Armchair Expert to discuss how karate gave him an incongruous level of confidence, he talks about his relationship to marijuana and doing stand up comedy at the age of 13. Dax commends Seth's healthy relationship with money and Seth shares his personal feelings on the Sony hack. The two of them discuss working with their wives, Seth details the benefits of not procreating and Dax shares a story in which he passed up an opportunity to audition for The 40-Year-Old Virgin. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
4PfM4wkrLzEVGfzf0CRaUi,2018-08-20,Colin Hanks & Allison Tolman,10205622,"In this special FARGO combo episode of Armchair Expert, Colin Hanks (Orange County, King Kong, Life In Pieces) and Allison Tolman (Downward Dog, Krampus, Good Girls) sit down with the armchair expert to discuss one of Dax and Monica's favorite TV shows, Fargo. Colin discusses the balance between work and family, how he was almost cast as Dax's role in Zathura and the misconceptions people assume about his life and childhood. Allison talks about what it was like doing press with an animal, her relationship to fame and she shares her experience with depression. Monica and Dax fact check out of Austin, TX where they discuss the world record for treading water. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
0gYTKAy1l4e9YgmHBGIpRT,2018-08-27,Jason Bateman,8026305,"Jason Bateman (Arrested Development, Silver Spoons, Juno, Ozark) is an American actor, director, producer and longtime friend of the Armchair Expert. Jason sits down with Dax to discuss tales of sobriety, parenthood and the formula for a deadpan delivery. Jason reveals his many idiosyncrasies and Dax credits Jason for proposing to Kristen. The two of them chat about their mutual ex-scumbaggery, they reminisce on Dax's nude scene in This is Where I Leave You and Dax defends his unique style of wiping his butt. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
4oRPu6Phtwt5Dl45vqFmLA,2018-09-03,Matthew Lillard,8010318,"Matthew Lillard (Serial Mom, Scream, Scooby Doo, The Descendants, Good Girls) is an American actor, voice actor, director, producer and human lighthouse. Matthew sits down with the Armchair Expert to discuss his early experience as a mime named TTAM, having to reinvent his life after an inexplicable period of not working and he labels his ultimate pursuit to remain artistic. Dax decides Matthew was the right man to date the love of his life and Matthew tells the story of how he was cast as the man who stole George Clooney's wife. The two of them travel down memory lane in a sweet recount of their love affair despite Matthew's insistence that they would never remain friends after Without A Paddle. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
30qDK5VUrDPcf6rdcThMDR,2018-09-06,EXPERTS ON EXPERT: Keith Morrison,7429328,"In this episode of Experts on Expert, the Armchair Expert speaks with broadcast journalist and Dateline correspondent Keith Morrison about the difference between Canadian journalism and American journalism, his reluctance to appear self-aggrandizing and his most haunting experience as a journalist. Dax praises Keith's spectacular ability to craft language and Keith tells the story of how he cut off his thumb. The two discuss the impossible role of a step-parent, the correct way to evade spousal homicide and the duality of career ambition. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
1YVoRCp2agF6ncy7FcNiAj,2018-09-10,Kathryn Hahn,9698847,"Kathryn Hahn (Anchorman: The Legend of Ron Burgundy, Step Brothers, Bad Moms, Transparent) is an American actress, comedian and special soul. Kathryn sits down with the Armchair Expert to talk about her early experience with facades and vulnerability, she discusses the different facets of monogamy and she enlightens us on her young obsession with the Amish. Dax and Kathryn fall in love with each other over their shared taste in music, they discuss defensiveness in the current political climate and they find closure and healing on a previous awkward interaction. Monica battles some demons while Dax battles some gas in the fact check.Listen to an exclusive preview of Ellen on the Go: www.wondery.fm/dax Learn more about your ad choices. Visit podcastchoices.com/adchoices"
0Tk5c63IiThFZmjaZTBcId,2018-09-17,Ike Barinholtz,7777933,"Ike Barinholtz (Mad TV, The Mindy Project, Neighbors, Blockers) is an American comedian, screenwriter, actor and most likable human. Ike sits down with the Armchair Expert to discuss his time on Mad TV, he recalls lying to his parents about dropping out of college and he details a demoralizing job as a telemarketer. Dax attributes his current sense of humor to a young encounter with men on work release and Ike is too tired to make love at night. Dax and Ike do impressions of nearly every human and they both agree that the most terrible experiences make the best stories. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
6UQMoH0yYiLgTqPLwIKADH,2018-09-24,The Good Place Week: Ted Danson,7433874,"The Good Place week commences with American actor, producer and National Treasure, Ted Danson. Ted sits down with the Armchair Expert to reminisce on his early years in an unconventional upbringing, he explains the juxtaposition between playing a cool guy on TV despite feeling profoundly uncool in life and he discusses his ride through life on the back of a pickup truck. Dax refers to the first time he met Ted on the street in 1996 and he laments being unable to pronounce Ted’s name. Ted reveals the secret behind being deemed MVP and the two of them share an undying love for Kristen Bell. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
2mfDbOxxTDOpLOlvwQonc5,2018-09-25,The Good Place Week: D'Arcy Carden,6331715,"The Good Place week episode 2 is brought to you by American actress, comedian, and most lovable robot, D’Arcy Carden. D’Arcy sits down with the Armchair Expert to discuss her epiphany about confidence, she reveals which bodily function made her husband fall in love with her and she talks about the struggle with making a non-human character resonate with humans. The two talk about the ethical dilemma of student/teacher relationships, D’Arcy perfects the O’Reilly jingle and Dax, as to be expected, loves D’Arcy’s dad. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
2Mx6qKDqJLIOrLcuiGxUUt,2018-09-26,The Good Place Week: Mike Schur,7041515,"Episode 3 of The Good Place week shines a light on the man behind the curtain, Mike Schur. Mike (The Office, Parks and Recreation, Brooklyn 99) sits down with the Armchair Expert to discuss his philosophy on always “punching up”, he breaks down white privilege, details the many facets of showrunning and he gives a sweet anecdote that sums up Regis Philbin’s character. Dax and Mike discuss the virtues and pitfalls of Andrew Dice Clay, they talk about Mike’s attraction to equality and they come to the conclusion that Ted, Mike and Kristen would be the perfect threesome to pickpocket. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
322if9u5uPndE4QOViiOUy,2018-09-27,The Good Place Week: Kristen Bell,6471418,"She’s BAAAAAACKKKKK!!!!!! Kristen Bell rounds out The Good Place week by sitting down with the Armchair Expert (again) to discuss stereotypes, she gives advice on how to handle aggravating situations and she talks about why season 3 of The Good Place is the best yet. Dax asks Kristen to name the times he’s embarrassed her and Kristen refuses to wear headphones. Kristen and Monica name the reasons they love each other and they detail the layers of their baby/mother/wife relationship. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
5hBIyqwpUelcOgZKia2Yyr,2018-10-01,Wendi McLendon-Covey,6617495,"Wendi McLendon-Covey (Reno 911, Bridesmaids, The Goldbergs) is an American actress and comedian. Wendi sits down with the Armchair Expert to discuss their time at the Groundlings together, she talks about her family’s initial disapproval in her career and she reminisces on the horror of commercial auditions. Wendi talks about her decision to not have children and Dax tells of the time a hotel had to change their protocol due to one of his sexual encounters. The two touch on the topic of monogamy in Hollywood, they speculate on why there hasn’t been a sequel to Bridesmaids and Monica and Dax go on a field trip for the fact check. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
4E997Yh7dh6R4KVreN9UUp,2018-10-04,EXPERTS ON EXPERT: Yuval Noah Harari,4538853,"In this episode of Experts on Expert, the Armchair Expert speaks to author, professor and Israeli historian, Yuval Noah Harari. In this far too brief episode, Yuval discusses the differences between our experiential and narrative selves, he talks about a not so distant future in which AI will drastically alter the workforce and he theorizes on why the technological evolution could potentially warrant the return of communism. The two discuss the idea of myths, virtual reality and security. Dax and Monica mourn the fact that they only had an hour with Yuval and Dax takes an armcherry song request in the fact check. Yuval Noah Harari is a tenured professor in the Department of History at the Hebrew University of Jerusalem. He is the author of the international bestsellers Sapiens: A Brief History of Humankind, Homo Deus: A Brief History of Tomorrow, and 21 Lessons for the 21st Century.  Learn more about your ad choices. Visit podcastchoices.com/adchoices"
4QhXxaPGZUpGlPVmowmXer,2018-10-08,Seth Meyers,4637884,"Seth Meyers (Saturday Night Live, Late Night with Seth Meyers) is an American comedian, writer, political commentator, actor, and television host. The Armchair Expert travels to 30 Rock to discuss being beta to their female alpha counterparts and the uncomfortable competition that happens among friends in a sketch environment. Seth talks about the time Brad Paisley saved him from having to dance at his wedding, he discusses the balance between work and family and he details the highest moment during his day. Dax puts Seth at the top of the ""hardest workers"" list and Seth reveals the secret to getting Lorne Michaels to like you.  Learn more about your ad choices. Visit podcastchoices.com/adchoices"
4a0ULyIuecziojX0fBYl3Z,2018-10-11,LIVE FROM LOS ANGELES: Jason Ritter,7062857,"Armchair Expert Live from Los Angeles at Largo at the Coronet. June 30th, 2018. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
2zAu1q4LYQlhQ6Et1IFUiU,2018-10-15,Amy Schumer,5687013,"Amy Schumer (Inside Amy Schumer, Trainwreck, I Feel Pretty) is an American stand-up comedian, actress and Queen of all things. Amy sits down with the Armchair Expert to discuss body confidence, how she met her husband and her general contentment with death. Amy talks about the ubiquitous fear women harbor and Dax is excited they both share the title of Class Clown. The two veer into a conversation about gender differences that left Dax feeling regretful after the recording. Monica and Dax discuss the aftermath and resolution of that moment during the fact check.  Learn more about your ad choices. Visit podcastchoices.com/adchoices"
